('WORD', 'TAG', 'PREDICTED TAG')
('Ngokuqinisekileyo', 'ADV', 'ADV')
('uya', 'V', 'V')
('kukhumbula', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('abantu', 'N02', 'N02')
('beli', 'DEM01', 'LOC')
('lizwe', 'N05', 'N05')
('ngokobuninzi', 'N02', 'V')
('babo', 'DEM02', 'DEM02')
('kwiindibanisela', 'V', 'V')
('ezahluka', 'V', 'V')
('hlukeneyo', 'V', 'V')
('balisabela', 'V', 'V')
('ngokuzinikela', 'V', 'V')
('ikhwelo', 'P', 'V')
('lokwenza', 'V', 'V')
('eli', 'DEM01', 'DEM01')
('lizwe', 'N05', 'N05')
('ukuba', 'CONJ', 'CONJ')
('lingalawuleki', 'V', 'V')
('nocalu-calulo', 'N11', 'V')
('lungasebenzi', 'V', 'V')
('$', 'END', 'END')
0.8333333333333334
('^', 'START', 'START')
('Olu', 'DEM01', 'DEM01')
('suku', 'N', 'N')
('silubhiyozela', 'V', 'V')
('sikunye', 'V', 'V')
('nabo', 'ADV', 'ADV')
('babesakuba', 'REL', 'V')
('ngamabanjwa', 'N06', 'V')
('opolitiko', 'POS', 'N')
('nesithe', 'V', 'V')
('sabamema', 'V', 'V')
('ngokukodwa', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('babe', 'N', 'N')
('kunye', 'ADJ05', 'ADJ05')
('nathi', 'ADV', 'ADV')
('$', 'END', 'END')
0.8235294117647058
('^', 'START', 'START')
('Sibamkela', 'V', 'V')
('ngokukodwa', 'V', 'V')
('abo', 'DEM02', 'DEM02')
('basuka', 'V', 'V')
('kumazwe', 'V', 'V')
('angaphesheya', 'N05', 'V')
('ukuze', 'CONJ', 'CONJ')
('babe', 'N', 'N')
('kunye', 'ADJ05', 'ADJ05')
('nathi', 'ADV', 'V')
('uHelene', 'N', 'V')
('Pastoors', 'N', 'V')
('uMichael', 'COP', 'V')
('Dingake', 'V', 'V')
('baseBotswana', 'N07', 'V')
('uMnu', 'N', 'V')
('Andimba', 'V', 'V')
('Toivo', 'N09', 'V')
('ya', 'N05', 'N05')
('Toivo', 'N', 'V')
('weSwapo', 'N', 'N')
('eNamibia', 'N', 'V')
('$', 'END', 'END')
0.5833333333333334
('^', 'START', 'START')
('Sinovuyo', 'N11', 'V')
('ukuba', 'CONJ', 'CONJ')
('iqela', 'N', 'N')
('lezomthetho', 'POS', 'V')
('kwityala', 'N05', 'V')
('lokuNgcatsha', 'POS05', 'V')
('uMbuso', 'N', 'N')
('laseRivonia', 'REL', 'V')
('libe', 'V', 'V')
('likunye', 'V', 'V')
('nathi', 'ADV', 'ADV')
('uLord', 'P', 'V')
('Joffe', 'N', 'V')
('ongumhlali', 'P', 'V')
('waseLondon', 'LOC', 'V')
('sithethe', 'N07', 'N07')
('nje', 'ADV', 'ADV')
('kunye', 'ADJ05', 'ADJ05')
('noJaji', 'P', 'V')
('Arthur', 'N', 'N')
('Chaskalson', 'N', 'V')
('$', 'END', 'END')
0.5217391304347826
('^', 'START', 'START')
('Sikwakhumbula', 'V', 'V')
('simnika', 'V', 'N')
('nembeko', 'N', 'V')
('uMnu', 'N', 'V')
('Harry', 'N', 'N')
('Schwarz', 'ADV', 'V')
('nothe', 'V', 'V')
('ngelishwa', 'N05', 'N05')
('wasweleka', 'V', 'V')
('kule', 'DEM01', 'DEM01')
('veki', 'N09', 'N')
('iphelileyo', 'REL', 'REL')
('$', 'END', 'END')
0.6428571428571429
('^', 'START', 'START')
('Phakathi', 'ADV', 'ADV')
('kwezinye', 'POS15', 'POS15')
('izinto', 'N10', 'N10')
('ebelilungu', 'N06', 'V')
('leqela', 'V', 'V')
('elimele', 'V', 'V')
('abamangalelwa', 'V', 'V')
('kwityala', 'N05', 'V')
('laseRivonia', 'V', 'V')
('$', 'END', 'END')
0.8181818181818182
('^', 'START', 'START')
('Sidlulisa', 'V', 'V')
('umbulelo', 'N03', 'N03')
('wethu', 'POS01', 'POS01')
('kubahlobo', 'N02', 'N02')
('bethu', 'POS14', 'POS14')
('namaqabane', 'N06', 'QUANT06')
('wamazwe', 'N06', 'N06')
('ngamazwe', 'N06', 'N06')
('ngokuthi', 'V', 'V')
('bancedisane', 'V', 'V')
('nathi', 'ADV', 'ADV')
('ngamaxesha', 'N06', 'N06')
('onke', 'QUANT06', 'V')
('xa', 'N05', 'N05')
('besilwela', 'V', 'V')
('ukuzuza', 'V', 'V')
('inkululeko', 'N09', 'N09')
('yethu', 'POS04', 'POS04')
('$', 'END', 'END')
0.9
('^', 'START', 'START')
('Samkela', 'V', 'V')
('ngokukodwa', 'V', 'V')
('usapho', 'N11', 'V')
('lakwaMandela', 'POS', 'V')
('$', 'END', 'END')
0.6666666666666666
('^', 'START', 'START')
('Bathe', 'V', 'V')
('baba', 'N', 'N')
('luphawu', 'N11', 'V')
('lokuzenza', 'V', 'V')
('idini', 'N05', 'N05')
('kwabaninzi', 'POS15', 'V')
('abathi', 'V', 'V')
('babulaleka', 'V', 'V')
('phantsi', 'ADV', 'ADV')
('kwengqumbo', 'N03', 'V')
('yocalucalulo', 'POS', 'V')
('$', 'END', 'END')
0.6923076923076923
('^', 'START', 'START')
('Sibulisa', 'V', 'V')
('iinkokheli', 'N10', 'N10')
('zeqela', 'V', 'V')
('elilawulayo', 'V', 'V')
('kunye', 'ADJ05', 'ADJ05')
('nembumba', 'N09', 'V')
('yaMahlakani', 'N09', 'V')
('yalo', 'DEM01', 'DEM01')
('ekungumsitho', 'N03', 'V')
('owodwa', 'V', 'V')
('kubo', 'PRON14', 'V')
('lo', 'DEM01', 'DEM01')
('$', 'END', 'END')
0.7142857142857143
('^', 'START', 'START')
('Bantu', 'N02', 'V')
('bakuthi', 'V', 'V')
('nabahlobo', 'N02', 'V')
('$', 'END', 'END')
0.6
('^', 'START', 'START')
('Ngale', 'V', 'V')
('mini', 'N10', 'V')
('ikhethekileyo', 'REL', 'V')
('kufuneka', 'V', 'V')
('siqaphele', 'V', 'V')
('negalelo', 'N05', 'N05')
('labo', 'DEM02', 'DEM02')
('babe', 'N', 'N')
('kubunkokheli', 'N', 'V')
('be-Nationa', 'ADV', 'V')
('Party', 'N', 'V')
('nabathe', 'V', 'V')
('ekugqibeleni', 'V', 'V')
('babona', 'V', 'V')
('ukuthi', 'CONJ', 'CONJ')
('ucalucalulo', 'N', 'V')
('alunakamva', 'ADV', 'V')
('$', 'END', 'END')
0.631578947368421
('^', 'START', 'START')
('Ndivumeleni', 'LOC', 'V')
('ndithethe', 'N07', 'V')
('ngendima', 'N09', 'V')
('eyadlalwa', 'V', 'V')
('ngowayesakuba', 'REL', 'V')
('nguMongameli', 'V', 'N')
('u-PW', 'V', 'V')
('Botha', 'V', 'V')
('$', 'END', 'END')
0.5
('^', 'START', 'START')
('Yaba', 'V', 'V')
('nguye', 'PRON01', 'V')
('owavula', 'V', 'V')
('iingxoxo', 'N09', 'V')
('ezimalunga', 'ADV', 'ADV')
('nokukhululwa', 'V', 'V')
('kwamabanjwa', 'N06', 'V')
('opolitiko', 'POS', 'V')
('$', 'END', 'END')
0.6
('^', 'START', 'START')
('UMongameli', 'V', 'V')
('uBotha', 'V', 'V')
('ngokusebenzisana', 'V', 'V')
('nowayesakuba', 'V', 'V')
('nguMphathiswa', 'V', 'V')
('wezobuLungisa', 'V', 'V')
('uMnu', 'N', 'V')
('Kobie', 'N', 'V')
('Coetzee', 'N', 'V')
('nothe', 'V', 'V')
('yena', 'PRON01', 'V')
('wancediswa', 'V', 'V')
('nguGqirha', 'N01', 'V')
('Neil', 'P', 'V')
('Barnard', 'P', 'V')
('noMnu', 'N', 'V')
('Mike', 'V', 'V')
('Louw', 'V', 'V')
('$', 'END', 'END')
0.6
('^', 'START', 'START')
('Badlala', 'V', 'V')
('indima', 'N09', 'N09')
('ebalulekileyo', 'V', 'V')
('kwinkqubo', 'N09', 'N09')
('eyakhokelela', 'V', 'V')
('ekukhululweni', 'N07', 'V')
('kukaMadiba', 'V', 'V')
('$', 'END', 'END')
0.8888888888888888
('^', 'START', 'START')
('MaLungu', 'N06', 'V')
('aHloniphekileyo', 'V', 'V')
('$', 'END', 'END')
0.75
('^', 'START', 'START')
('UMzantsi', 'P', 'DEM01')
('Afrika', 'N05', 'N05')
('kufanele', 'V', 'V')
('kwakhona', 'ADV', 'ADV')
('uqaphele', 'V', 'V')
('ngokupheleleyo', 'P', 'P')
('indima', 'N09', 'N09')
('ebalulekileyo', 'V', 'V')
('eyadlalwa', 'V', 'V')
('ngowayesakuba', 'REL', 'V')
('nguMongameli', 'V', 'V')
('we-ANC', 'P', 'V')
('uQabane', 'N03', 'V')
('Oliver', 'ADV', 'V')
('Tambo', 'N', 'N')
('nowathi', 'V', 'V')
('wakhela', 'V', 'V')
('eli', 'DEM01', 'DEM01')
('lizwe', 'N05', 'N05')
('isisekelo', 'N07', 'V')
('sokuba', 'V', 'V')
('ngumzekelo', 'N03', 'V')
('oqaqambileyo', 'V', 'V')
('wenkululeko', 'N09', 'N')
('nentando', 'N09', 'V')
('yesininzi', 'POS04', 'V')
('$', 'END', 'END')
0.6428571428571429
('^', 'START', 'START')
('Yaba', 'V', 'V')
('bubunkokheli', 'N', 'V')
('bakhe', 'POS14', 'V')
('obuqaqambileyo', 'V', 'V')
('ukubona', 'V', 'V')
('into', 'N09', 'N09')
('isekude', 'V', 'V')
('nombono', 'N03', 'V')
('ocacileyo', 'V', 'V')
('okwakhokelela', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('i-ANC', 'P', 'V')
('iqinise', 'V', 'V')
('ekutyhaleleni', 'V', 'V')
('kwisivumelwano', 'N07', 'N07')
('ekubonisweneyo', 'V', 'V')
('ngaso', 'P', 'V')
('$', 'END', 'END')
0.7368421052631579
('^', 'START', 'START')
('Ubulumko', 'P', 'V')
('bakhe', 'POS14', 'V')
('baphinda', 'V', 'V')
('babonakaliswa', 'V', 'V')
('kwisiBhambathiso', 'P', 'V')
('saseHarare', 'P', 'V')
('awathi', 'V', 'V')
('wasibhala', 'N06', 'N')
('wanguvulindlela', 'P', 'V')
('waso', 'POS01', 'V')
('kananjalo', 'N09', 'N09')
('$', 'END', 'END')
0.46153846153846156
('^', 'START', 'START')
('Yaba', 'V', 'V')
('koku', 'DEM01', 'DEM01')
('okwathi', 'V', 'V')
('kwakha', 'V', 'V')
('isisekelo', 'N07', 'V')
('sesibhengezo', 'N', 'V')
('esaba', 'V', 'V')
('yimbali', 'N09', 'V')
('esenziwa', 'V', 'V')
('nguMongameli', 'V', 'N')
('u-FW', 'V', 'V')
('de', 'V', 'V')
('Klerk', 'N', 'V')
('kwiminyaka', 'N04', 'N04')
('engama-20', 'P', 'V')
('eyadlulayo', 'V', 'V')
('$', 'END', 'END')
0.6666666666666666
('^', 'START', 'START')
('Koku', 'DEM01', 'DEM01')
('uMongameli', 'V', 'V')
('de', 'V', 'V')
('Klerk', 'N', 'V')
('wabonakalisa', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('nesibindi', 'V', 'V')
('okukhulu', 'POS06', 'V')
('nobunkokheli', 'N10', 'V')
('obungahexiyo', 'V', 'V')
('$', 'END', 'END')
0.75
('^', 'START', 'START')
('Ngale', 'V', 'V')
('mini', 'N09', 'V')
('ibalulekileyo', 'V', 'V')
('mandiqaphele', 'V', 'V')
('kwakhona', 'ADV', 'ADV')
('indima', 'N09', 'N09')
('eyadlalwa', 'V', 'V')
('ngongasekhoyo', 'REL', 'V')
('uNkosk', 'N', 'V')
('$', 'END', 'END')
0.7272727272727273
('^', 'START', 'START')
('Helen', 'P', 'DEM01')
('Suzman', 'N', 'N')
('$', 'END', 'END')
0.75
('^', 'START', 'START')
('Ixesha', 'N05', 'N05')
('elide', 'ADJ05', 'ADJ05')
('waba', 'V', 'V')
('lilizwi', 'N05', 'V')
('elinkenteza', 'V', 'V')
('lodwa', 'V', 'V')
('ePalamente', 'V', 'V')
('elimemeza', 'V', 'V')
('ngotshintsho', 'N', 'N')
('$', 'END', 'END')
0.9090909090909091
('^', 'START', 'START')
('Sikwaqaphela', 'V', 'V')
('nendima', 'N09', 'N09')
('eyadlalwa', 'V', 'V')
('yinkokheli', 'N10', 'V')
('ye-Inkatha', 'N', 'V')
('Freedom', 'N', 'N')
('Party', 'N', 'V')
('uNkosi', 'N', 'N')
('Mangosuthu', 'N07', 'V')
('Buthelezi', 'POS', 'V')
('nowathi', 'V', 'V')
('naye', 'ADV', 'ADV')
('wamemezela', 'V', 'V')
('ukukhululwa', 'V', 'V')
('kukaMadiba', 'V', 'V')
('kwakunye', 'V', 'V')
('nokukhululwa', 'V', 'V')
('kwamanye', 'POS15', 'V')
('amabanjwa', 'N06', 'V')
('opolitiko', 'V', 'V')
('nokubuya', 'V', 'V')
('kwabo', 'DEM02', 'DEM02')
('babeselubhacweni', 'V', 'V')
('$', 'END', 'END')
0.72
('^', 'START', 'START')
('Siphinda', 'V', 'V')
('kwakhona', 'ADV', 'ADV')
('umbulelo', 'N03', 'N03')
('wethu', 'POS01', 'POS01')
('osuka', 'V', 'V')
('emazantsi', 'LOC', 'V')
('entliziyo', 'N09', 'V')
('kwabezizwe', 'N08', 'V')
('ngezizwe', 'N08', 'V')
('ngenkxaso', 'P', 'P')
('yabo', 'DEM02', 'DEM02')
('engagungqiyo', 'V', 'V')
('ekuxhaseni', 'V', 'V')
('umzabalazo', 'N03', 'V')
('wethu', 'POS01', 'V')
('$', 'END', 'END')
0.6470588235294118
('^', 'START', 'START')
('La', 'V', 'V')
('mathuba', 'N06', 'V')
('kwimbali', 'N09', 'V')
('yethu', 'POS04', 'V')
('abonakalisa', 'V', 'V')
('amandla', 'N06', 'N06')
('wethu', 'POS01', 'V')
('okumanyana', 'V', 'V')
('nkqu', 'V', 'V')
('nangaphezu', 'ADV', 'V')
('kwazo', 'POS15', 'V')
('naziphi', 'V', 'V')
('na', 'INT', 'INT')
('iimeko', 'N10', 'N10')
('ezinzima', 'REL10', 'V')
('nokubeka', 'V', 'V')
('phambili', 'ADV', 'ADV')
('iimfuno', 'N10', 'N10')
('zesizwe', 'N07', 'V')
('ngaphezu', 'ADV', 'ADV')
('kwazo', 'POS15', 'V')
('naziphi', 'V', 'V')
('na', 'INT', 'V')
('ezinye', 'V', 'V')
('iimfuno', 'N10', 'N10')
('$', 'END', 'END')
0.6296296296296297
('^', 'START', 'START')
('Xa', 'N05', 'N05')
('sisebenzisana', 'V', 'V')
('singenza', 'V', 'V')
('ngcono', 'CONJ', 'CONJ')
('$', 'END', 'END')
1.0
('^', 'START', 'START')
('MaLungu', 'N06', 'V')
('aHloniphekileyo', 'V', 'V')
('$', 'END', 'END')
0.75
('^', 'START', 'START')
('Apha', 'DEM01', 'DEM01')
('ekuhambeni', 'V', 'V')
('konyaka', 'N11', 'N11')
('siza', 'V', 'V')
('kubhiyozela', 'V', 'V')
('ukusekwa', 'V', 'V')
('kweManyano', 'N', 'V')
('yoMzantsi', 'LOC', 'LOC')
('Afrika', 'N05', 'N05')
('neyasekwa', 'V', 'V')
('ngowe-1910', 'P', 'V')
('$', 'END', 'END')
0.8461538461538461
('^', 'START', 'START')
('Oku', 'DEM01', 'DEM01')
('kwadala', 'V', 'V')
('umbuso', 'N05', 'V')
('olawulwa', 'V', 'V')
('liqela', 'V', 'V')
('elinye', 'V', 'V')
('kungekho', 'ADV', 'ADV')
('qela', 'N', 'N')
('liphikisayo', 'REL', 'V')
('$', 'END', 'END')
0.8181818181818182
('^', 'START', 'START')
('Ngokuqaphelekayo', 'V', 'V')
('ukushiyelwa', 'V', 'V')
('ngaphandle', 'ADV', 'ADV')
('kwabantu', 'N02', 'N02')
('abamnyama', 'REL02', 'V')
('kule', 'DEM01', 'DEM01')
('Manyano', 'POS', 'V')
('kwaba', 'V', 'V')
('sesinye', 'V', 'V')
('sezizathu', 'N07', 'V')
('eziyintloko', 'N09', 'V')
('zokusekwa', 'V', 'V')
('kwe-African', 'N', 'V')
('National', 'P', 'P')
('Congress', 'N', 'N')
('$', 'END', 'END')
0.7058823529411765
('^', 'START', 'START')
('Xa', 'N05', 'N05')
('siphawula', 'V', 'V')
('lo', 'DEM01', 'DEM01')
('mbhiyozo', 'N03', 'V')
('apha', 'DEM01', 'DEM01')
('ekuhambeni', 'V', 'V')
('konyaka', 'N11', 'N11')
('kufanele', 'V', 'V')
('sibonakalise', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('sesihambe', 'V', 'V')
('kangakanani', 'INT', 'INT')
('na', 'INT', 'INT')
('njengesizwe', 'N07', 'N09')
('$', 'END', 'END')
0.875
('^', 'START', 'START')
('MaLungu', 'N06', 'V')
('aHloniphekileyo', 'V', 'V')
('$', 'END', 'END')
0.75
('^', 'START', 'START')
('Sikhumbula', 'V', 'V')
('amazwi', 'N06', 'N06')
('kaMadiba', 'N04', 'V')
('ekukhululweni', 'V', 'V')
('kwakhe', 'V', 'V')
('xa', 'N05', 'N05')
('wayesithi', 'V', 'V')
('ndiyacaphula', 'V', 'V')
('$', 'END', 'END')
0.9
('^', 'START', 'START')
('Ndimi', 'V', 'V')
('phambi', 'ADV', 'ADV')
('kwenu', 'POS15', 'V')
('hayi', 'IDEOPH', 'V')
('njengomprofeti', 'N07', 'V')
('kodwa', 'V', 'V')
('njengesicaka', 'V', 'V')
('senu', 'POS15', 'V')
('bantu', 'N02', 'N02')
('esizithobileyo', 'V', 'V')
('$', 'END', 'END')
0.6666666666666666
('^', 'START', 'START')
('Ukuzenza', 'V', 'V')
('kwenu', 'POS15', 'V')
('idini', 'N05', 'N05')
('ngokungadinwayo', 'V', 'V')
('nokobuqhawe', 'V', 'V')
('kuko', 'COP', 'V')
('okwenze', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('ndibe', 'V', 'V')
('nakho', 'ADV', 'ADV')
('ukuba', 'CONJ', 'CONJ')
('lapha', 'DEM01', 'V')
('namhlanje', 'ADV', 'ADV')
('$', 'END', 'END')
0.8
('^', 'START', 'START')
('Ngoko', 'N11', 'N11')
('ke', 'CONJ', 'CONJ')
('iminyaka', 'N04', 'N04')
('esaseleyo', 'V', 'V')
('kubomi', 'N14', 'V')
('bam', 'POS', 'V')
('ndiyi', 'V', 'V')
('nikezela', 'V', 'V')
('esandleni', 'N09', 'V')
('senu', 'POS04', 'V')
('$', 'END', 'END')
0.6666666666666666
('^', 'START', 'START')
('La', 'V', 'V')
('mazwi', 'N06', 'V')
('ayasivuselela', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('singaphumli', 'N02', 'V')
('side', 'V', 'V')
('sibe', 'V', 'V')
('siyiphumezile', 'V', 'V')
('iminqweno', 'N03', 'N')
('nenkolelo', 'N09', 'V')
('yoluntu', 'N11', 'N11')
('olukhululekileyo', 'V', 'V')
('kwindlala', 'N09', 'V')
('nasekusweleni', 'V', 'V')
('$', 'END', 'END')
0.6875
('^', 'START', 'START')
('Kule', 'DEM01', 'DEM01')
('minyaka', 'N04', 'N04')
('ingamashumi', 'N06', 'V')
('amabini', 'ADJ06', 'V')
('ukususela', 'V', 'V')
('ekukhululweni', 'LOC', 'V')
('kukaMadiba', 'N05', 'V')
('ilizwe', 'N05', 'N05')
('lethu', 'POS05', 'POS05')
('litshintshe', 'V', 'V')
('ngokuncamisayo', 'V', 'V')
('$', 'END', 'END')
0.6923076923076923
('^', 'START', 'START')
('UMongameli', 'N', 'V')
('Mandela', 'V', 'V')
('walimanyanisa', 'V', 'V')
('eli', 'DEM01', 'DEM01')
('lizwe', 'N05', 'N05')
('phantsi', 'ADV', 'ADV')
('kweenjongo', 'N09', 'V')
('zoMzantsi', 'LOC', 'LOC')
('Afrika', 'N05', 'N05')
('ongenacalucalulo', 'POS', 'V')
('ngokwesini', 'P', 'P')
('ngokobuhlanga', 'P', 'P')
('wentando', 'N09', 'V')
('yesininzi', 'POS04', 'V')
('nohlumayo', 'V', 'V')
('$', 'END', 'END')
0.7058823529411765
('^', 'START', 'START')
('Njengoko', 'ADV', 'ADV')
('sibhiyozela', 'V', 'V')
('ukukhululwa', 'V', 'V')
('kukaMadiba', 'V', 'V')
('namhlanje', 'ADV', 'ADV')
('masiphinde', 'V', 'V')
('sizibophelele', 'V', 'V')
('ekwakheni', 'V', 'V')
('ingomso', 'N03', 'V')
('eliqaqambileyo', 'V', 'V')
('labo', 'DEM02', 'DEM02')
('bonke', 'QUANT06', 'QUANT06')
('abantu', 'N02', 'N02')
('baseMzantsi', 'LOC', 'LOC')
('Afrika', 'N05', 'N05')
('abamnyama', 'REL02', 'V')
('nabamhlophe', 'V', 'V')
('$', 'END', 'END')
0.8947368421052632
('^', 'START', 'START')
('Masiqhubele', 'V', 'V')
('phambili', 'ADV', 'ADV')
('umnqweno', 'N03', 'N')
('nenkolelo', 'N09', 'V')
('uMadiba', 'V', 'V')
('ebehlala', 'V', 'V')
('eyilwela', 'V', 'V')
('ubomi', 'N14', 'N14')
('bakhe', 'POS14', 'POS14')
('bonke', 'QUANT06', 'QUANT06')
('umnqweno', 'N03', 'V')
('wesizwe', 'V', 'V')
('sentando', 'N09', 'V')
('yesininzi', 'POS04', 'N')
('nesikhululekileyo', 'V', 'V')
('apho', 'DEM02', 'DEM02')
('bonke', 'QUANT06', 'QUANT06')
('abantu', 'N02', 'N02')
('bahlalisana', 'V', 'V')
('ngokuvana', 'V', 'V')
('namathuba', 'N06', 'N06')
('alinganayo', 'V', 'V')
('$', 'END', 'END')
0.7916666666666666
('^', 'START', 'START')
('MaLungu', 'N06', 'V')
('aHloniphekileyo', 'V', 'V')
('$', 'END', 'END')
0.75
('^', 'START', 'START')
('Sibize', 'ADV', 'V')
('le', 'DEM01', 'DEM01')
('ndibanisela', 'V', 'V')
('ebusuku', 'N11', 'V')
('ukuze', 'CONJ', 'CONJ')
('uninzi', 'N11', 'N11')
('lwabantu', 'N02', 'N02')
('kwilizwe', 'N05', 'N05')
('lethu', 'POS05', 'POS05')
('abasebenzi', 'N02', 'N02')
('nabantwana', 'N02', 'N02')
('besikolo', 'N09', 'V')
('bakwazi', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('yinxalenye', 'COP', 'V')
('yalo', 'DEM01', 'DEM01')
('msitho', 'N', 'N')
('$', 'END', 'END')
0.7894736842105263
('^', 'START', 'START')
('Siyithandile', 'V', 'V')
('indlela', 'N09', 'N09')
('ulutsha', 'V', 'V')
('olubonakalise', 'V', 'V')
('ngayo', 'ADV', 'ADV')
('umdla', 'N03', 'N03')
('ngokumalunga', 'V', 'V')
('nalo', 'ADV', 'ADV')
('msitho', 'N', 'N')
('$', 'END', 'END')
1.0
('^', 'START', 'START')
('Ngamakhulu', 'ADV', 'V')
('mabini', 'ADJ06', 'V')
('anamashumi', 'N06', 'V')
('mathandathu', 'POS06', 'V')
('anesithandathu', 'POS06', 'V')
('abantwana', 'N02', 'V')
('abavela', 'V', 'V')
('kuwo', 'PRON03', 'PRON03')
('onke', 'QUANT06', 'QUANT06')
('amaphondo', 'N06', 'V')
('abathe', 'V', 'V')
('bathatha', 'V', 'V')
('inxaxheba', 'V', 'V')
('kwingxoxo-mpikiswano', 'POS', 'V')
('yangaphambi-kweNtetho', 'N', 'V')
('engoBume', 'N14', 'V')
('beSizwe', 'N07', 'V')
('malunga', 'N06', 'N06')
('nendima', 'N09', 'N09')
('yolutsha', 'V', 'V')
('kumlo', 'N', 'V')
('wokulwa', 'V', 'V')
('nendlala', 'N09', 'N09')
('$', 'END', 'END')
0.52
('^', 'START', 'START')
('Siyavuyisana', 'V', 'V')
('nophumelele', 'V', 'V')
('phambili', 'ADV', 'ADV')
('kubo', 'PRON14', 'PRON14')
('bonke', 'QUANT06', 'QUANT06')
('uCharlotte', 'V', 'V')
('Le', 'DEM01', 'DEM01')
('Fleur', 'N', 'V')
('weSikolo', 'N07', 'V')
('seSekondari', 'N', 'V')
('saseWorcester', 'N', 'V')
('nabo', 'ADV', 'ADV')
('bonke', 'QUANT06', 'V')
('abathathi-nxaxheba', 'V', 'V')
('ngomsebenzi', 'N01', 'V')
('wabo', 'DEM02', 'DEM02')
('omkhulu', 'ADJ02', 'REL')
('$', 'END', 'END')
0.631578947368421
('^', 'START', 'START')
('Bantu', 'N02', 'V')
('bakuthi', 'V', 'V')
('nabahlobo', 'N02', 'V')
('$', 'END', 'END')
0.6
('^', 'START', 'START')
('Sidibana', 'V', 'V')
('sizoku', 'ADV', 'V')
('lwisana', 'V', 'N')
('nentlekele', 'N09', 'V')
('yokubuyela', 'V', 'V')
('umva', 'N03', 'N03')
('koqoqosho', 'POS', 'POS')
('lwehlabathi', 'N05', 'N05')
('$', 'END', 'END')
0.7
('^', 'START', 'START')
('Kulo', 'DEM01', 'DEM01')
('nyaka', 'N05', 'N05')
('uphelileyo', 'ADV', 'V')
('sifumene', 'V', 'V')
('ukudodobala', 'V', 'V')
('koqoqosho', 'POS', 'POS')
('okokuqala', 'POS', 'V')
('kwiminyaka', 'N04', 'N04')
('eli-17', 'REL', 'REL')
('$', 'END', 'END')
0.8181818181818182
('^', 'START', 'START')
('Le', 'DEM01', 'DEM01')
('ntlekele', 'N09', 'N09')
('ibangele', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('kuqoqosho', 'POS', 'V')
('lwethu', 'POS11', 'V')
('siphulukane', 'V', 'V')
('namathuba', 'N06', 'N06')
('omsebenzi', 'N01', 'REL')
('engama-900', 'REL', 'V')
('000', 'REL', 'REL')
('$', 'END', 'END')
0.6923076923076923
('^', 'START', 'START')
('Uninzi', 'N11', 'N11')
('lwabo', 'DEM02', 'V')
('baphulukene', 'V', 'V')
('nemisebenzi', 'N04', 'N04')
('ngabantu', 'N02', 'N02')
('ekuxhonyekekwe', 'V', 'V')
('kubo', 'PRON14', 'V')
('kwiintsapho', 'LOC', 'V')
('ezihluphekileyo', 'V', 'V')
('$', 'END', 'END')
0.7272727272727273
('^', 'START', 'START')
('KweyoMdumba', 'V', 'V')
('kulo', 'DEM01', 'DEM01')
('nyaka', 'N05', 'N05')
('uphelileyo', 'ADV', 'ADV')
('urhulumente', 'N01', 'V')
('abezoshishino', 'P', 'V')
('abasebenzi', 'N02', 'N02')
('nabameli', 'N02', 'V')
('boluntu', 'N11', 'N11')
('bavumelana', 'V', 'V')
('ngamanyathelo', 'N06', 'V')
('anokuthatyathwa', 'V', 'V')
('ukunciphisa', 'V', 'V')
('izinga', 'N09', 'N')
('nempembelelo', 'N09', 'V')
('yale', 'V', 'V')
('ntlekele', 'N09', 'N09')
('$', 'END', 'END')
0.6842105263157895
('^', 'START', 'START')
('Sesisebenzise', 'V', 'V')
('amaninzi', 'ADJ06', 'V')
('kula', 'DEM03', 'V')
('manyathelo', 'N06', 'N06')
('$', 'END', 'END')
0.6666666666666666
('^', 'START', 'START')
('Siphumeze', 'V', 'V')
('amanyathelo', 'N06', 'N06')
('abalulekileyo', 'V', 'V')
('okulwana', 'N08', 'V')
('nokudodobala', 'V', 'V')
('koqoqosho', 'POS', 'POS')
('kwinkcitho', 'N09', 'V')
('karhulumente', 'N01', 'N01')
('ingakumbi', 'V', 'V')
('kwiziseko', 'N08', 'V')
('zoncedo', 'N11', 'V')
('$', 'END', 'END')
0.6923076923076923
('^', 'START', 'START')
('Ukuqiniseka', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('ababetheki', 'V', 'V')
('kakhulu', 'ADV', 'ADV')
('senyuse', 'V', 'V')
('inkxaso-mali', 'N', 'N')
('yezentlalo', 'POS', 'V')
('saza', 'V', 'V')
('sayandisa', 'V', 'V')
('iminyaka', 'N04', 'N04')
('yabantwana', 'N02', 'V')
('abafumana', 'V', 'V')
('iNkxaso-mali', 'N', 'V')
('yaBantwana', 'N02', 'V')
('yayakutsho', 'N', 'V')
